tract_id,ward,partial,blocks,housing,housing_percent,pop,pop_percent
17031010100,49,0,31,2624,1,4854,1
17031010201,49,0,67,2941,1,6450,1
17031010202,49,0,25,1218,1,2818,1
17031010300,49,0,49,3254,1,6236,1
17031010400,49,0,31,2311,1,5042,1
17031010501,49,0,24,2601,1,4091,1
17031010502,49,0,24,1978,1,3101,1
17031010503,49,0,30,1364,1,2290,1
17031010600,49,0,60,3227,1,6097,1
17031010701,49,0,37,1650,1,3864,1
17031010702,49,0,39,2177,1,5143,1
17031020100,49,1,21,1120,0.673,2608,0.658
17031020100,50,1,14,545,0.327,1357,0.342
17031020200,50,0,124,2165,1,6676,1
17031020301,50,0,49,2207,1,4750,1
17031020302,50,0,65,1846,1,4650,1
17031020400,50,0,54,1831,1,4168,1
17031020500,50,0,49,2388,1,6214,1
17031020601,50,0,71,2147,1,6353,1
17031020602,50,0,56,1501,1,4340,1
17031020701,40,0,54,736,1,1704,1
17031020702,50,0,79,2510,1,7194,1
17031020801,40,0,80,2244,1,5458,1
17031020802,40,1,37,1041,0.433,2838,0.408
17031020802,50,1,41,1361,0.567,4125,0.592
17031020901,40,1,20,664,0.314,1653,0.317
17031020901,50,1,24,1449,0.686,3568,0.683
17031020902,40,0,41,1711,1,4286,1
17031030101,48,0,10,2569,1,3893,1
17031030102,48,0,11,2107,1,3204,1
17031030103,48,0,11,1253,1,1928,1
17031030104,48,0,12,1357,1,3681,1
17031030200,48,0,73,2726,1,5369,1
17031030300,40,0,40,1521,1,3322,1
17031030400,40,0,42,1367,1,2684,1
17031030500,48,0,70,3245,1,6395,1
17031030601,48,0,12,2377,1,4012,1
17031030603,48,0,10,1556,1,2095,1
17031030604,48,0,11,2217,1,2976,1
17031030701,48,0,6,967,1,1549,1
17031030702,48,0,3,1156,1,1630,1
17031030703,48,0,17,1961,1,2830,1
17031030706,48,0,17,2694,1,3599,1
17031030800,48,0,62,2244,1,4326,1
17031030900,40,0,68,1572,1,3028,1
17031031000,40,1,15,629,0.295,1253,0.343
17031031000,47,1,29,1504,0.705,2403,0.657
17031031100,46,1,5,191,0.076,311,0.071
17031031100,47,1,21,2311,0.924,4091,0.929
17031031200,46,1,7,1080,0.356,2345,0.415
17031031200,48,1,21,1954,0.644,3303,0.585
17031031300,46,1,5,973,0.227,1957,0.277
17031031300,48,1,25,3312,0.773,5119,0.723
17031031400,46,0,36,3513,1,5150,1
17031031501,46,0,18,1986,1,4083,1
17031031502,46,0,18,2459,1,4354,1
17031031700,46,0,38,3908,1,6570,1
17031031800,47,0,17,1016,1,1820,1
17031031900,47,0,21,1319,1,2304,1
17031032100,46,0,25,4539,1,7052,1
17031040100,40,0,78,1913,1,3985,1
17031040201,40,0,84,3097,1,6218,1
17031040202,40,0,77,3207,1,7249,1
17031040300,40,0,52,1170,1,3069,1
17031040401,40,1,40,1069,0.727,2285,0.739
17031040401,47,1,16,401,0.273,807,0.261
17031040402,40,1,29,1558,0.604,2697,0.604
17031040402,47,1,16,1020,0.396,1771,0.396
17031040600,47,0,52,1350,1,2434,1
17031040700,40,1,23,1066,0.63,1886,0.604
17031040700,47,1,20,626,0.37,1237,0.396
17031040800,47,0,26,819,1,1514,1
17031040900,47,0,32,1140,1,1950,1
17031050100,47,0,40,1222,1,2290,1
17031050200,47,0,88,2468,1,4837,1
17031050300,47,0,38,1152,1,2365,1
17031050500,47,0,83,2326,1,4754,1
17031050600,47,0,51,1157,1,2071,1
17031050700,32,1,6,171,0.239,358,0.252
17031050700,47,1,15,543,0.761,1060,0.748
